,Adj Close
2018/5/21,2716.3496
2018/5/22,2716.0842
2018/5/23,2718.6387
2018/5/24,2716.9905
2018/5/25,2718.685
2018/5/29,2721.3835
2018/5/30,2720.3994
2018/5/31,2721.5193
2018/6/1,2716.899
